stage,objective
1,3.9925468935000002e6
2,3.9925472215115726e6
3,4.837810141726792e6
4,5.160475975087494e6
5,5.126742701960266e6
6,9.360222681740865e6
7,9.418962495871648e6
8,6.478335332847759e6
9,3.4903914004999995e6
10,3.0217699483366087e6
11,3.542431574208416e6
12,3.0217702128670774e6
13,3.6964122734999955e6
14,3.696408503977198e6
15,9.459420254965574e6
16,5.160472341600746e6
17,9.359877538032427e6
18,9.360220253928393e6
19,9.418962242674977e6
20,9.443358431677625e6
21,3.0217654518091213e6
22,7.213103997472877e6
23,586236.9290956522
